id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
212	"ansoff, h.i."	-0.1487	0.1078	3	23	680	64
213	"ansoff, i."	0.3109	-0.3143	1	20	224	21
214	"ansoff, i.h."	0.0936	-0.6329	1	22	338	33
1470	"day, g.s."	-0.1348	0.5112	2	23	634	40
2801	"hiltunen, e."	-0.4863	-0.4299	1	22	985	76
3013	"ilmola, l."	-0.2178	-0.5055	1	22	453	27
3249	"kaivo-oja, j."	-0.2708	-0.2055	1	22	623	41
3645	"kuosa, t."	-0.3228	-0.7308	1	20	263	27
3654	"kuusi, o."	-0.4567	-0.6022	1	21	501	33
3895	"liebl, f."	0.5137	0.4452	2	22	655	44
4372	"mendonca, s."	-0.4982	-0.1939	1	22	538	37
4990	"park, y."	-0.8356	0.0397	3	21	226	20
5221	"popper, r."	-0.6019	0.452	3	19	205	22
5594	"rohrbeck, r."	0.2614	0.449	2	20	460	44
5636	"rossel, p."	0.0449	-0.2081	1	23	756	49
5688	"ruff, f."	-0.0594	-0.0133	1	22	472	33
5801	"saritas, o."	-0.7034	0.2589	3	21	302	30
5885	"schoemaker, p.j.h."	0.0034	0.5559	2	23	748	46
5939	"schwarz, j.o."	0.4331	0.3108	2	22	731	46
6412	"sutcliffe, k.m."	1.9185	-0.4057	4	7	127	22
6544	"thorleuchter, d."	-0.8191	-0.3143	3	20	299	20
6731	"van der heijden, k."	0.2988	0.8505	2	20	450	28
7027	"weick, k.e."	1.6104	-0.3232	4	21	326	46
7212	"wright, g."	0.0669	0.8988	2	20	528	41
