id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
156	accumulation	-0.1035	0.3149	9	7	8	7	2010	3	0.433
184	acoustic emission	-0.4248	-0.2065	7	10	11	7	2014.2857	1.7143	0.552
208	acquisition	-0.0064	0.6712	1	28	57	42	2014.0476	2.6667	0.2969
266	adaptive	-0.5919	-0.0526	15	13	21	13	2010.8462	7.3077	3.4042
287	adaptive filter	-0.0027	0.1755	8	11	11	10	2013	4.7	0.7846
289	adaptive filtering	-0.5966	-0.4891	7	5	5	6	2009.6667	10.3333	0.6074
329	adaptive signal processing	-0.1684	0.0418	4	4	4	5	2010.4	4.4	0.7538
332	adaptive stochastic resonance	-0.6483	-0.429	14	9	13	15	2015.1333	11.2667	1.8629
338	adaptive threshold	-0.1942	-0.268	12	3	3	7	2012.2857	1.4286	0.208
347	adc	0.1582	0.6646	1	3	4	5	2012	1	0.1926
455	algorithm	0.252	-0.0296	10	13	14	6	2011	3.1667	0.6909
529	amplification	0.8689	0.0101	5	8	9	8	2009.5	20.625	0.9304
536	amplifier	0.2487	0.1899	8	7	7	12	2012.9167	2	0.1711
631	anomaly detection	0.1819	-0.8341	11	5	7	6	2014	27	3.4791
645	antenna arraying	0.3363	-0.5105	19	2	4	6	2011.3333	1.1667	0.1273
673	anti-jamming	0.2717	0.4177	8	7	10	9	2010.4444	1.2222	0.1006
710	apd	0.1841	-0.2331	3	9	11	8	2012	2.625	0.2963
721	apoptosis	1.5597	0.0911	5	4	4	11	2007.7273	14.5455	0.9703
727	approximate entropy	-0.5295	-0.4339	14	8	12	5	2009.8	23.4	1.6643
777	array signal processing	0.0911	-0.1026	2	6	6	7	2007.5714	11.2857	0.7414
820	assisted gps	0.3598	0.5106	8	5	6	5	2009.4	4.8	0.4469
833	astrocyte	1.684	0.1063	5	5	5	6	2008.1667	29.1667	1.293
945	autocorrelation	-0.481	0.1954	10	13	18	9	2012.4444	5.4444	0.8184
989	avalanche photodiode	0.2602	-0.2546	3	8	11	9	2006.8889	2.6667	0.1965
1132	beamforming	0.3635	0.4248	8	4	6	9	2011.2222	2.3333	0.3075
1146	bearing fault detection	-0.8301	-0.4704	14	4	4	6	2017.1667	2	0.5573
1147	bearing fault diagnosis	-0.649	-0.462	7	5	9	10	2016.2	10	2.2033
1202	big data	0.8364	-0.1387	6	6	6	6	2016.6667	1.6667	0.4709
1301	bistable stochastic resonance	-0.0638	0.0339	4	5	6	5	2013.2	2.2	0.1606
1302	bistable system	-0.4429	-0.2548	16	17	37	19	2010.2105	15	1.1433
1311	bit synchronization	0.0246	0.8486	1	7	12	13	2013.0769	4.7692	0.6183
1338	blind source separation	-0.5409	-0.051	13	5	6	9	2013.8889	1.3333	0.2809
1358	blood glucose	-0.5361	-0.5731	7	3	3	7	2010.5714	5.5714	0.4181
1421	brain	1.7396	0.0982	5	5	5	7	2003.7143	57.4286	2.4897
1440	breast cancer	1.3307	-0.0339	5	4	4	8	2011.5	22.875	1.1602
1572	calibration	0.3965	-0.0036	10	2	2	5	2013.4	0.4	0.1427
1655	carrier tracking	0.0637	0.6196	1	9	10	11	2013.2727	1.1818	0.1328
1712	ccd	0.4384	0.1386	3	6	8	8	2007.625	4.25	0.2021
1834	chaos	-0.4256	-0.0768	2	52	116	92	2009.2391	7	0.4383
1846	chaos system	-0.543	0.2271	2	5	7	6	2009	4.5	0.3611
1847	chaos theory	-0.4136	-0.0037	2	9	11	9	2011.8889	3.5556	0.5046
1848	chaotic	-0.4542	-0.0246	9	5	5	5	2013.8	1.8	0.5321
1850	chaotic circuit	-0.6745	0.0412	2	3	7	6	2016.8333	0.8333	0.2372
1852	chaotic detection	-0.4496	0.1232	9	5	5	6	2013	4.1667	0.4989
1866	chaotic oscillator	-0.4936	-0.069	2	25	39	27	2009.5556	7	0.6374
1877	chaotic system	-0.3794	0.1141	2	16	19	12	2011.75	2.9167	0.3084
2001	circular correlation	-0.0183	0.7666	1	7	9	5	2014.6	0.2	0.0195
2021	classification	0.0549	-0.2366	4	8	11	10	2013.5	2.5	0.7103
2029	climate change	0.6836	-0.471	6	1	1	8	2012.75	26.75	3.0576
2057	clutter	-0.0949	-0.423	11	6	6	5	2010.6	12	0.9461
2062	cmos	-0.2165	0.4048	12	3	3	7	2013.8571	4.4286	0.5966
2131	cognitive radio	-0.0809	-0.0228	12	26	63	44	2012.6591	7.8182	0.8795
2160	coherent integration	-0.0742	0.7565	1	12	20	16	2012.875	4.4375	0.5501
2195	collective detection	-0.1497	0.7576	1	5	7	6	2016.1667	1.6667	0.2625
2256	competitive intelligence	0.8068	-0.1423	6	4	4	6	2013.6667	0.5	0.0757
2283	component	-0.809	-0.4367	14	4	4	5	2011.2	3.2	0.4213
2298	compressed sensing	-0.4337	0.386	13	6	6	6	2013.8333	5.6667	0.6413
2302	compressive sensing	-0.3774	0.2461	13	8	10	9	2014.4444	4.8889	0.7301
2348	conductivity	-0.3966	0.578	12	2	4	5	2013.2	1.6	0.1743
2468	corporate foresight	0.8404	0.0029	6	6	7	8	2015.5	13.25	1.9093
2479	correlation	0.0969	-0.1915	19	19	22	14	2012.0714	3.5	0.4607
2485	correlation detection	-0.0133	-0.0263	8	12	12	8	2008.25	1.375	0.1024
2521	cosmology: observations	0.3973	-1.4778	11	2	3	6	2006.6667	23.8333	1.2967
2600	cross correlation	-0.3779	0.3935	10	6	7	9	2012.8889	2.6667	0.3543
2608	cross-correlation	-0.2408	0.0669	9	22	27	20	2012.75	2.25	0.2884
2797	data acquisition	0.1651	0.1423	3	13	13	20	2010.7	2.7	0.2688
2813	data fusion	-0.3853	-1.1705	7	1	1	5	2013	1.2	0.1635
2816	data mining	0.6438	-0.3999	6	5	5	6	2013.3333	1.8333	0.2669
2820	data processing	-0.0153	-0.3511	3	4	5	5	2010.8	1.4	0.1088
2848	de-noising	-0.2488	-0.0537	14	16	27	19	2011.2632	6.3158	0.3691
2863	decentralized detection	-0.0842	-1.0744	20	1	6	7	1997.5714	14.1429	0.3084
2870	decision-making	0.8758	-0.1487	6	4	5	6	2015	4.8333	0.8026
2875	deconvolution	0.403	0.4239	8	2	2	6	2013	4.8333	1.8087
2882	deep space communication	0.308	-0.5213	19	2	2	5	2012.2	1.2	0.1198
2896	defect	-1.2469	0.0338	15	5	7	5	2015.8	3.6	0.4884
2929	demodulation	-0.1795	-0.3357	4	5	7	8	2008	0.5	0.026
2937	denoising	-0.4825	-0.1657	13	18	23	23	2012.1304	5.4348	0.7187
2975	design	-0.4288	-0.4056	7	3	4	5	2012.8	2.6	0.6997
2988	detection	-0.3782	0.074	2	33	45	42	2009.0476	7.3571	0.6508
3014	detection of weak signal	0.0246	-0.2985	3	10	12	8	2008	11	0.804
3019	detection probability	-0.1155	0.0247	12	10	12	7	2007.5714	3.4286	0.3229
3032	detector	0.2818	-0.0056	3	11	11	10	2010.2	10.3	1.0176
3034	detectors	0.0363	-0.5194	20	6	7	6	2013.1667	6.6667	0.7216
3039	development	1.3037	0.0488	6	5	6	9	2002.6667	38.3333	1.002
3178	digital lock-in amplifier	0.1777	-0.0715	2	6	6	6	2011.6667	3	0.2482
3193	digital signal processing	0.0982	-0.2575	3	9	11	9	2010.7778	5	9.841
3202	digital watermarking	-2.5926	-0.8006	22	1	4	6	2006.8333	1.6667	0.1031
3290	discrete wavelet transform	-0.4272	-0.1259	10	7	11	7	2010.7143	25.5714	2.4962
3333	distributed detection	-0.0933	-1.0286	20	5	12	11	2003.8182	15.3636	0.9483
3390	doa estimation	0.2746	0.393	8	3	6	8	2010.875	3.5	0.3881
3409	doppler frequency	-0.1185	0.7203	1	6	6	5	2011.8	4.6	0.7303
3500	dsp	0.1884	0.0926	8	11	12	11	2010.2727	1.0909	0.1389
3537	duffing	-0.3833	-0.0598	2	8	8	7	2013.5714	5.7143	0.7126
3540	duffing chaotic oscillator	-0.5989	0.1849	2	6	6	5	2011.8	2.4	0.2827
3542	duffing equation	-0.4867	0.0266	9	22	37	21	2008.8571	19.7619	1.0408
3545	duffing oscillator	-0.4425	0.069	2	55	111	88	2012.7273	4.1705	0.561
3551	duffing system	-0.6315	0.0001	2	14	20	15	2013.1333	2	0.2144
3582	dynamic range	0.2503	-0.0638	3	9	10	12	2009.0833	2.0833	0.1858
3610	early detection	0.8435	-0.173	6	2	2	5	2013.8	5.6	0.8572
3617	early warning	0.8016	-0.1908	6	8	8	7	2006	13.8571	0.7686
3620	early warning system	0.6608	-0.0317	6	1	1	6	2013.6667	0.1667	0.0208
3629	earthquake	-0.0539	-0.4047	3	4	5	6	2014.8333	0	0
3657	ecg signal	-0.3395	-0.3262	4	9	13	8	2010.625	13.5	1.83
3799	electromagnetic interference	-0.2576	0.3395	9	3	3	6	2014	2	0.2049
