id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
156	accumulation	-0.3999	0.2261	11	7	8	7	2010	3	0.4286
184	acoustic emission	-0.4777	-0.4031	6	10	11	7	2014.2857	1.7143	0.5349
208	acquisition	-0.464	0.5506	1	28	57	42	2014.0476	2.6905	0.2982
266	adaptive	-0.5277	-0.2799	17	13	21	13	2010.8462	7.3077	3.2231
287	adaptive filter	-0.1003	0.1365	7	11	11	10	2013	4.7	0.7739
289	adaptive filtering	-0.4357	-0.7164	6	5	5	6	2009.6667	10.3333	0.6064
329	adaptive signal processing	-0.3616	0.1591	4	4	4	5	2010.4	4.4	0.7435
332	adaptive stochastic resonance	-0.5808	-0.5916	13	9	13	15	2015.1333	11.4	1.8603
338	adaptive threshold	-0.1041	-0.2114	14	3	3	7	2012.2857	1.4286	0.2062
347	adc	-0.2888	0.6731	1	3	4	5	2012	1	0.1872
455	algorithm	0.0568	0.2707	10	13	14	6	2011	3.1667	0.6558
529	amplification	0.7544	0.2326	3	8	9	8	2009.5	20.75	0.9306
536	amplifier	0.1629	0.2231	7	7	7	12	2012.9167	2	0.1704
631	anomaly detection	0.0279	0.7667	12	5	7	6	2014	27	3.4596
645	antenna arraying	0.258	-0.648	20	2	4	6	2011.3333	1.1667	0.1268
673	anti-jamming	0.343	0.3046	7	7	10	9	2010.4444	1.2222	0.1002
710	apd	0.1415	-0.031	2	9	11	8	2012	2.625	0.2948
721	apoptosis	1.3905	0.2692	3	4	4	11	2007.7273	14.5455	0.967
727	approximate entropy	-0.4857	-0.5929	13	8	12	5	2009.8	23.6	1.6756
778	array signal processing	0.0498	0.135	9	6	6	7	2007.5714	11.2857	0.7384
822	assisted gps	0.1339	0.5016	7	5	6	5	2009.4	4.8	0.4457
835	astrocyte	1.4233	0.1805	3	5	5	6	2008.1667	29.1667	1.2909
947	autocorrelation	-0.5552	-0.0081	10	13	18	9	2012.4444	5.4444	0.8103
992	avalanche photodiode	0.2072	0.0057	2	8	11	9	2006.8889	2.7778	0.2019
1136	beamforming	0.4375	0.3271	7	4	6	9	2011.2222	2.3333	0.3054
1150	bearing fault detection	-0.7457	-0.7039	13	4	4	6	2017.1667	2	0.5434
1151	bearing fault diagnosis	-0.5419	-0.6533	6	5	9	10	2016.2	10.2	2.2074
1206	big data	0.8621	-0.0951	5	8	8	7	2017	1.5714	0.4191
1305	bistable stochastic resonance	-0.305	0.02	4	5	6	5	2013.2	2.2	0.1603
1306	bistable system	-0.3343	-0.4283	13	17	37	19	2010.2105	15.1053	1.1486
1315	bit synchronization	-0.4742	0.7517	1	7	12	13	2013.0769	4.7692	0.6146
1342	blind source separation	-0.6441	-0.332	15	5	6	9	2013.8889	1.3333	0.2769
1362	blood glucose	-0.3468	-0.7808	6	3	3	7	2010.5714	5.5714	0.4173
1425	brain	1.4105	0.1535	3	6	6	7	2003.7143	57.5714	2.485
1444	breast cancer	1.2116	0.3707	3	4	4	8	2011.5	22.875	1.1573
1579	calibration	0.1612	0.331	10	2	2	5	2013.4	0.4	0.1374
1663	carrier tracking	-0.2977	0.5576	1	9	10	11	2013.2727	1.1818	0.1321
1720	ccd	0.3452	0.057	2	6	8	8	2007.625	4.25	0.2018
1842	chaos	-0.201	-0.3224	8	52	116	92	2009.2391	7.0217	0.4379
1854	chaos system	0.286	-0.3403	8	5	7	6	2009	4.5	0.3603
1855	chaos theory	-0.222	-0.282	8	9	11	9	2011.8889	3.5556	0.5001
1856	chaotic	-0.5501	-0.1432	11	5	5	5	2013.8	2	0.6486
1858	chaotic circuit	-0.2548	-0.5067	8	3	7	6	2016.8333	1.5	0.9027
1860	chaotic detection	-0.4372	-0.1054	11	5	5	6	2013	4.3333	0.5191
1874	chaotic oscillator	-0.4385	-0.262	11	25	39	27	2009.5556	7.037	0.6371
1885	chaotic system	-0.2824	-0.1252	8	16	19	12	2011.75	3	0.3223
2009	circular correlation	-0.5181	0.6296	1	7	9	5	2014.6	0.2	0.0195
2029	classification	-0.1212	0.0839	4	8	11	10	2013.5	2.5	0.6971
2037	climate change	0.7753	-0.5218	5	1	1	8	2012.75	26.875	3.0609
2065	clutter	-0.1898	0.1295	12	6	6	5	2010.6	12	0.9424
2070	cmos	0.0058	0.4461	14	3	3	7	2013.8571	4.4286	0.5907
2139	cognitive radio	-0.0523	-0.0157	14	26	63	44	2012.6591	7.8182	0.8721
2168	coherent integration	-0.5709	0.5908	1	12	20	16	2012.875	4.4375	0.5465
2203	collective detection	-0.6411	0.5554	1	5	7	6	2016.1667	1.6667	0.2599
2264	competitive intelligence	0.8402	-0.1473	5	4	4	6	2013.6667	0.5	0.075
2291	component	-0.7278	-0.6697	13	4	4	5	2011.2	3.2	0.4186
2306	compressed sensing	-0.7583	0.0587	15	6	6	6	2013.8333	5.8333	0.655
2310	compressive sensing	-0.6221	-0.0134	15	8	10	9	2014.4444	5	0.732
2356	conductivity	-0.0301	0.7074	14	2	4	5	2013.2	1.8	0.2002
2478	corporate foresight	0.8211	0.0172	5	6	7	8	2015.5	13.25	1.8959
2489	correlation	0.0204	-0.3166	20	19	22	14	2012.0714	3.5	0.4564
2495	correlation detection	-0.0898	0.038	7	12	12	8	2008.25	1.375	0.1022
2531	cosmology: observations	0.1162	1.545	12	2	3	6	2006.6667	23.8333	1.2931
2610	cross correlation	-0.6286	0.2174	10	6	7	9	2012.8889	2.6667	0.3519
2618	cross-correlation	0.0043	-0.0478	16	23	29	20	2012.75	2.3	0.2917
2807	data acquisition	0.1033	0.1363	2	13	13	20	2010.7	2.7	0.2679
2823	data fusion	0.1021	-1.3097	6	1	1	5	2013	1.2	0.1625
2826	data mining	0.7393	-0.4385	5	5	5	6	2013.3333	1.8333	0.2642
2829	data processing	0.0103	-0.2463	2	4	5	5	2010.8	1.4	0.1076
2857	de-noising	-0.2656	-0.0954	13	16	27	19	2011.2632	6.3158	0.3682
2872	decentralized detection	0.3773	-1.0171	19	1	6	7	1997.5714	14.1429	0.3082
2879	decision-making	0.9048	-0.1368	5	4	5	6	2015	5	0.8126
2884	deconvolution	0.4471	0.3498	7	2	2	6	2013	4.8333	1.7516
2891	deep space communication	0.2818	-0.625	20	2	2	5	2012.2	1.2	0.1195
2905	defect	0.948	-0.404	17	6	8	5	2015.8	3.6	0.4851
2938	demodulation	-0.0864	-0.3597	4	5	7	8	2008	0.5	0.0259
2946	denoising	-0.4227	-0.4035	15	18	23	23	2012.1304	5.4348	0.7117
2984	design	-0.331	-0.568	6	3	4	5	2012.8	2.8	0.7503
2997	detection	-0.4316	-0.0609	11	33	45	42	2009.0476	7.3571	0.6481
3023	detection of weak signal	0.0621	-0.2079	2	10	12	8	2008	11	0.8012
3028	detection probability	-0.0396	0.3992	14	10	12	7	2007.5714	3.4286	0.3221
3041	detector	0.2159	0.0557	2	11	11	10	2010.2	10.3	1.0143
3043	detectors	0.2119	-0.3646	19	6	7	6	2013.1667	6.8333	0.741
3048	development	1.2298	0.0817	5	5	6	9	2002.6667	38.5556	1.0175
3187	digital lock-in amplifier	0.0587	0.3048	9	6	6	6	2011.6667	3.1667	0.2643
3202	digital signal processing	0.0568	-0.0619	2	9	11	9	2010.7778	5.3333	10.2179
3211	digital watermarking	1.661	1.9436	22	1	4	6	2006.8333	1.6667	0.1029
3299	discrete wavelet transform	-0.5198	-0.0959	10	7	11	7	2010.7143	25.5714	2.4747
3342	distributed detection	0.3637	-0.9689	19	5	12	11	2003.8182	15.3636	0.9438
3399	doa estimation	0.4149	0.2634	7	3	6	8	2010.875	3.5	0.3866
3418	doppler frequency	-0.4623	0.5969	1	6	6	5	2011.8	4.6	0.7181
3509	dsp	0.0737	0.2067	7	11	12	11	2010.2727	1.0909	0.1377
3546	duffing	-0.4114	-0.1898	9	8	8	7	2013.5714	5.7143	0.709
3549	duffing chaotic oscillator	-0.0613	-0.296	8	6	6	5	2011.8	2.4	0.2812
3551	duffing equation	-0.4871	-0.1866	11	22	37	21	2008.8571	19.8095	1.0399
