"id";"title";"abstract_por";"authors";"contributors";"subjectsPOR";"subjectsENG";"institutions";"types";"accesslevel";"publicationDates";"urls";"formats";"languages";
"UCS_d12b4d66a0f4f07452f806c453834933";"Conhecimento para inovar : um estudo sobre o processamento de sinais fracos e o desempenho em inovação";"As innovations as knowledge show a main role in the organizational economic scenery nowadays. Furthermore uncertainties and turbulence may be associated with changes in these processes and sceneries, emitting signals and within the organizational context indicate the need of monitoring the competitive environment. These signals still so weak and once a time identified represent the external stimuli which associated to the knowhow can feed, and this way are considered like a background of the innovation. According Arboniés (2009), weak signal allow an individual creation from the association in different signals among theirselves and a tacit knowledge held by a group of individuals. This process called creative routines broadens the alternatives and can anticipate threats and opportunities, from the creative interpretation of weak signals and designing routines for processing. Thus, this study aimed to analyze the knowledge as a background of innovation and as a result of external monitoring. The focus was on the role of weak signals in their processing through creative routines and their influence on innovation performance. Then the goal was to analyse the practice of creative routines for a processing of weak signs and performance in innovation. The method used was the descriptive and exploratory with a case study from Alpha Group Companies. The outcomes indicate that the enterprises that have creative routines also show a superior performance in innovation.";"primary[Ribeiro, Jairo Moran Carvalho(NA)]";"advisor[Fachinelli, Ana Cristina(NA)]";"Desenvolvimento organizacional|Administração de empresas - Inovações tecnológicas|Conhecimento|Inovação|Rotinas Criativas";"Knowledge|Innovation|Creative Routines|Weak Signals";"UCS";"masterThesis";"openAccess";"2013";"https://repositorio.ucs.br/handle/11338/114";"masterThesis";"por"
"URGS_d23206f85032d9c92057b99717db43a4";"O uso das tecnologias de informação móveis e sem fio para ganho de agilidade nos processos de coleta e repasse dos sinais fracos";"Esta pesquisa se propõe a compreender como a utilização das tecnologias móveis pode ser explorada para o ganho de agilidade na captação e repasse dos sinais fracos (SF) no ambiente organizacional. Os sinais fracos, apesar de, isoladamente, se apresentarem como incertos e imprecisos, se analisados sistematicamente, contém potencial estratégico relevante para as organizações. O crescente uso de tecnologias móveis e sem fio, que permeia a realidade das organizações, permite uma maior agilidade por parte das empresas, sob as perspectivas de acesso a informação, comunicação e tempo. Através da realização de estudos de caso múltiplos, contando com 10 respondentes exercendo funções multidisciplinares em diferentes organizações, buscamos relacionar essas perspectivas de agilidade provenientes da utilização das tecnologias móveis nas organizações – levantadas através de revisão bibliográfica – às etapas de captação e repasse de sinais fracos, adotadas no modelo de Inteligência Estratégica Antecipativa e Coletiva (IEAc). Com relação à captação dos sinais fracos, entende-se que o volume de informações trocado e a disponibilidade dessas informações (ambos decorrentes do uso das tecnologias de informação móveis e sem fio) podem aumentar a chance de identificação de um sinal fraco nas três perspectivas analisadas. Contudo, essa percepção dos sinais fracos é vinculada também às características do profissional, que deve assumir uma atitude proativa e atenta no sentido de perceber e interpretar essas informações. A respeito do repasse de informação, entende-se que o ganho de agilidade pelo uso das TIMS pode ser explorado, dado que a redução das barreiras geográficas permite ganhos no processo em relação ao tempo, à comunicação e ao acesso à informação.";"primary[Borges, Natalia Marroni(NA)]";"advisor[Janissek-Muniz, Raquel(NA)]";"Tecnologias de Informação e Comunicação (TICs)|Tecnologia móvel|Inteligência estratégica";"Weak signals|Strategic|Anticipative and collective intelligence|Mobility|Enterprise mobility|Agility";"UFRGS";"masterThesis";"openAccess";"2015";"http://hdl.handle.net/10183/127229";"masterThesis";"por"
"URGS_ebc822d8dc4c45c71c72e8f7940b01d0";"Dsenvolvimento da capacidade absortiva em processos de exploração de sinais fracos, sob a perspectiva da criação do conhecimento organizacional";"Diversos estudos exploram temas relacionados ao monitoramento do ambiente com o intuito de auxiliar empresas a se protegerem contra ameaças e a aproveitarem oportunidades provenientes do ambiente externo. Outros pesquisadores se dedicaram aos tópicos relacionados à gestão do conhecimento, colocando o conhecimento como elemento central para o desenvolvimento e o sucesso empresarial. Contudo, identificaram-se poucos estudos que explorem as temáticas de monitoramento do ambiente e gestão do conhecimento em conjunto. Com o propósito de contribuir para o preenchimento desta lacuna, o presente estudo investiga o desenvolvimento da capacidade absortiva em processos de exploração de sinais fracos, sob a perspectiva da criação do conhecimento organizacional. Para tal investigação se utilizou método qualitativo e exploratório; tendo como técnicas de coleta de dados entrevistas semiestruturadas e análise de conteúdo para exploração dos mesmos. Constatou-se que o desempenho do processo de Inteligência pode contribuir para o desenvolvimento da capacidade absortiva, além de propiciar a criação, expansão e renovação de conhecimentos individuais e organizacionais. Observou-se, também, que a realização das atividades de Inteligência incentiva a ação e influencia na tomada de decisão de colaboradores e gestores. Os profissionais ao se sentirem melhor informados sobre oportunidades e ameaças provenientes do ambiente externo à organização passam a refletir e se responsabilizar mais por ações e decisões.";"primary[Bortoli, Luciana Nogueira(NA)]";"advisor[Janissek-Muniz, Raquel(NA)]";"Monitoramento do ambiente|Inteligência estratégica antecipativa";"Environmental scanning|Intelligence|Weak signal exploration|Knowledge management|Organizational knowledge creation|Absorptive capacity";"UFRGS";"masterThesis";"openAccess";"2016";"http://hdl.handle.net/10183/139275";"masterThesis";"por"
"UPM_4f25682702f5034bd49e70dc05544d46";"A captura de sinais antecipativos para a inovação de produto em micro e pequenas empresas";"Com esta dissertação, procurou-se verificar sobre a captura de sinais antecipativos nas Micro e Pequenas Empresas com a finalidade de inovar produtos. Para tanto, foram considerados os construtos da Inteligência Competitiva, sobretudo, a faceta responsável pela captura de sinais antecipativos, bem como a Inovação de Produtos. O método de pesquisa adotado foi qualitativo exploratório interpretativo, com entrevistas em profundidade norteadas por um roteiro estruturado previamente elaborado. Neste sentido, foram entrevistados cinco responsáveis pelo processo da inovação de produtos em Micro e Pequenas Empresas localizadas no Município de São Paulo. Cabe ressaltar que nenhuma das empresas pesquisadas possuía competição direta ou indireta entre si, para garantir que os entrevistados não omitissem informações, bem como para evitar a contaminação de vieses de determinado setor. A análise dos dados deu-se pela utilização da análise de conteúdo e os resultados da pesquisa indicaram uma característica reativa quanto à busca e posterior captura de sinais antecipativos ou informações já consolidadas no mercado. As inovações de produtos que aconteciam nas Micro e Pequenas Empresas pesquisadas foram, em quase sua totalidade, demandadas por seus clientes, de forma que as informações fossem utilizadas após a solicitação. Notou-se, igualmente, maior predisposição das Micro e Pequenas Empresas em buscar por sinais antecipativos em torno da melhoria de seus processos produtivos, permitindo maior produtividade, qualidade e melhor aproveitamento da matéria-prima utilizada. Ademais, houve casos em que as Micro e Pequenas Empresas mudaram de postura e utilizaram as informações do ambiente para inovar em seus produtos e obtiveram bons resultados, porém em menor frequência.";"primary[Pereira, Carlos Eduardo(http://lattes.cnpq.br/7671652178451088)]";"advisor[Perez, Gilberto(http://lattes.cnpq.br/8699394703578756)]|referee[Marcondes, Reynaldo Cavalheiro(NA)|Almeida, Fernando Carvalho de(NA)]";"inteligência competitiva|sinais antecipativos|inovação de produtos|micro e pequenas empresas";"";"MACKENZIE";"masterThesis";"openAccess";"2016";"http://tede.mackenzie.br/jspui/handle/tede/2852";"masterThesis";"por"
"USP_a451b3b88bf92e3263f64d377aff6fc5";"Foresight para políticas de CT&I com desenvolvimento sustentável: estudo de caso Brasil";"Os países, para continuarem competitivos, procuram aprimoramento contínuo da capacidade em Ciência, Tecnologia & Inovação (CT&I) num contexto de globalização mundial. Para isso, necessitam definir prioridades e formular políticas de CT&I. Uma das ações que podem contribuir para a melhoria da competitividade é a elaboração do Foresight Tecnológico, utilizado tanto para prever as conseqüências do uso dessas tecnologias para o meio ambiente e a sociedade, quanto para desenvolver formas de prevenir o seu impacto, visando conservar o meio ambiente e proporcionar melhorias sociais. Trata-se de uma pesquisa exploratória realizada por meio do estudo de caso, de levantamentos bibliográficos, obtenção de dados documentais e entrevistas com pessoas que participaram da elaboração de estudo foresight. Discorre sobre a teoria de foresight, o processo de elaboração do estudo, certas técnicas e métodos utilizados em alguns países em que foi realizado. Além disso, verifica o estágio em que o Brasil se encontra na elaboração de estudo foresight e, em profundidade, o estudo de caso Programa Brasileiro de Prospectiva Tecnológica Industrial, que foi coordenado pela Secretaria de Tecnologia Industrial (STI) em conjunto com a Secretaria de Desenvolvimento da Produção (SDP), do Ministério de Desenvolvimento, Indústria e Comércio Exterior (MDIC). Esta pesquisa pretende entender como procedimentos adotados no processo de elaboração do estudo foresight condicionam sua efetividade como instrumento de formulação de políticas públicas para CT&I no contexto de desenvolvimento sustentável, a fim de contribuir para o avanço do conhecimento da administração nessa área. A pesquisa sugere um esquema para o processo de elaboração do estudo foresight, para que esta envolva os stakeholders e os comprometa com a implementação dos resultados, a fim de apoiar a formulação de políticas públicas.";"primary[Antônio Luís Aulicino(NA)]";"advisor[Isak Kruglianskas(NA)]|referee[Gilda Massari Coelho(NA)|João Salvador Furtado(NA)|Marcio de Miranda Santos(NA)|James Terence Coulter Wright(NA)]";"Ciência|Desenvolvimento sustentável|Foresight|Inovações tecnológicas|Políticas públicas|Prospectiva|Tecnologia";"Foresight|Inovation|Public policies|Science|Sustainable development|Technology";"USP";"doctoralThesis";"openAccess";"2006";"http://www.teses.usp.br/teses/disponiveis/12/12139/tde-22092006-170228/";"doctoralThesis";"por"
"USP_d57efc110657aafc567a94cb93e75a3d";"Corporate foresight como competência organizacional para construção de vantagem competitiva";"A trajetória e desenvolvimento de Corporate Foresight, uma competência organizacional que permite estabelecer os alicerces para a construção de vantagem competitiva no contexto estratégico das organizações, têm revelado uma corrente de pesquisa independente no campo de estudos do futuro. A evolução do interesse sobre o tema, nos âmbitos acadêmico e gerencial, remete à necessidade de ampliar suas fronteiras interdisciplinares, permeando estudos concernentes aos elos que envolvem os construtos que delineiam todo o processo estratégico preditivo e decisório. Nesse sentido, esta tese tem por objetivo a proposição de um framework que realça a integração entre a competência Corporate Foresight e as demais etapas do processo estratégico que culmina com o estabelecimento de vantagens competitivas, proporcionando diálogo entre o conhecimento teórico e a observação empírica. Metodologicamente, foi realizada uma extensa revisão bibliográfica sobre os assuntos pertinentes ao tema objeto da tese, a qual serviu de base para a proposição do framework conceitual. Complementarmente, realizou-se uma pesquisa empírica, a qual recorreu a métodos mistos, envolvendo uma etapa qualitativa, com o emprego de entrevistas em profundidade face a face, e uma fase quantitativa. A primeira etapa serviu de subsídio necessário para o desenvolvimento da fase quantitativa, a qual visou a elucidar a relação e integração entre Corporate Foresight e as demais etapas do processo estratégico direcionado à elaboração de estratégias que permitam a consecução de vantagem competitiva e crescimento da organização. Conclui-se que a tese pode proporcionar um avanço no conhecimento sobre o tema, trazendo implicações acadêmicas e gerenciais, pois apresenta um framework aderente com poder explicativo de Corporate Foresight para a obtenção de Vantagem Competitiva Futura, condição necessária, mas não suficiente, pois também constata que apenas a implementação de ações necessárias identificadas durante o período de planejamento estratégico não é suficiente para explicar o estabelecimento de Vantagem competitiva.";"primary[Samantha Mazzero(NA)]";"advisor[Renata Giovinazzo Spers(NA)]|referee[Heidy Rodriguez Ramos(NA)|Geraldo Luciano Toledo(NA)|Nelson Daishiro Yoshida(NA)]";"Corporate foresight|Estratégia corporativa|Estudos do futuro|Vantagem competitiva";"Competitive advantage|Corporate foresight|Corporate strategy|Future studies";"USP";"doctoralThesis";"openAccess";"2019";"http://www.teses.usp.br/teses/disponiveis/12/12139/tde-21052019-170306/";"doctoralThesis";"por"
"CAMP_3a7422e741792cff530d867a98171377";"A definição de prioridades de pesquisa a partir da abordagem de technological foresight";"";"primary[Zackiewicz, Mauro(NA)]";"advisor[Salles Filho, Sérgio, 1959-(NA)]";"Institutos de pesquisa|Previsão tecnologia|Concorrência";"";"UNICAMP";"masterThesis";"openAccess";"2000";"http://repositorio.unicamp.br/jspui/handle/REPOSIP/287589";"masterThesis";"por"
"UFSC_7b2e96dc97ab1e53eaef038162cbb9b2";"Foresight e sistemas de inovação: aplicação de technology roadmaps sistêmicos em três setores industriais";"Este trabalho objetivou propor um método que operacionalizasse a abordagem do Sistemas de Inovação (SI) para a prática de foresight. O foresight é uma das técnicas mais difundidas para fazer análises futuro orientadas e sua literatura percorreu um longo caminho até entender a necessidade de integrar uma visão sistêmica e dinâmica ao seu desenvolvimento. Tendo isso em vista, recentemente foi apresentado o conceito de Innovation System Foresight (ISF). Apesar deste propor a integração entre Sistemas de Inovação e foresight, o ISF não deixa claro como proceder a análise do sistema de inovação e nem como integrar os resultados com as atividades de foresight. Esta dissertação buscou contribuir com essas lacunas, incorporando as funções do Sistemas de Inovação (SI), que é uma tentativa de caracterização desse sistema apresentado na literatura de SI, e o processo de Technology Roadmapping (TRM), que apresenta também características sistêmicas, mas ainda é pouco explorado como método de foresight. Assim, o primeiro faria a análise do sistema de inovação e o segundo atuaria como o integrador dessa análise à atividade de TF. Para operacionalizar essa integração, três setores industriais foram analisados sob a ótica do ISF setorial: automotivo, aeronáutico e ferroviário. A seleção dessas indústrias se deu devido à uma demanda prática da Federação das Indústrias de Santa Catarina (FIESC) em desenvolver rotas estratégicas para as indústrias emergentes, tendo em vista sua alta importância estratégia, sua alta intensidade tecnológica e ao fato de serem promotoras de desenvolvimento econômico. Os resultados indicaram fatores políticos chave para desenvolver essas indústrias e apresentaram as principais estratégias para ampliar a competitividade destas. Ao mesmo tempo, a incorporação da análise das funções do SI e o uso do TRM como fator operacionalizador desta análise ao foresight contribuiu para as lacunas apontadas pela literatura.<br>";"primary[Haddad, Carolina Resende(NA)]";"advisor[Uriona Maldonado, Maurício(NA)]";"";"";"UFSC";"masterThesis";"openAccess";"2016";"https://repositorio.ufsc.br/xmlui/handle/123456789/168034";"masterThesis";"por"
"PUC_RIO-1_13243c3e3e3dce3dcdd6d2e9d6dedb6f";"AN INTEGRATIVE MODEL FOR MULTIPLE STRATEGIES FORMULATION: THE CONTRIBUITION OF STRATEGIC FORESIGHT";"Para lidar com os graus cada vez mais elevados de dinamismo e complexidade do ambiente empresarial, com altos níveis inerentes de incerteza, as organizações têm desenvolvido processos de planejamento baseados na análise prospectiva, trazendo para a discussão estratégica um pensamento plural sobre o futuro. No entanto, na hora de formular as estratégias e definir os comprometimentos da empresa, essa diversidade, explorada na análise de cenários, é negligenciada e o processo de planejamento desenrola-se como se o mundo caminhasse em uma direção única. Para isso, contribui o distanciamento entre a construção de cenários e a formulação de estratégias nos processos de planejamento sob cenários. Visando potencializar a interligação entre essas áreas, objetiva-se, neste trabalho, avaliar o processo de formulação de estratégias e as possibilidades de contribuição da análise prospectiva a esse processo. Com esse fim, propõe-se um Modelo Integrador da Análise Prospectiva e da Estratégia, desenvolvido seguindo a metodologia de pesquisa-ação, o qual foi formulado com sólida fundamentação teórica nas áreas de estratégia, análise prospectiva e aprendizagem organizacional e aplicado durante o processo de planejamento corporativo do Sistema Eletrobras. O Modelo busca consolidar um processo de formulação de estratégias múltiplas enriquecido com o aporte dos cenários, constituindo um instrumento relevante para a gestão da incerteza na tomada de decisão da organização.";"primary[ANDREA BELFORT DE ANDRADE SANTOS(NA)]";"advisor[MARIA ANGELA CAMPELO DE MELO(lattes.cnpq.br/2031295255174307)]|coadvisor[NELIO DOMINGUES PIZZOLATO(lattes.cnpq.br/9306576520691089)]|referee[MARIA ANGELA CAMPELO DE MELO(NA)|NELIO DOMINGUES PIZZOLATO(NA)|TERESIA DIANA LEWE VAN ADUARD DE MACEDO SOARES(NA)|EDUARDO MARQUES(NA)|PAULO ROBERTO DE MENDONÇA MOTTA(NA)]";"";"";"PUC_RIO";"doctoralThesis";"openAccess";"2011";"https://www.maxwell.vrac.puc-rio.br/Busca_etds.php?strSecao=resultado&nrSeq=17787@1|https://www.maxwell.vrac.puc-rio.br/Busca_etds.php?strSecao=resultado&nrSeq=17787@2";"doctoralThesis";"por"
"USP_e21d284851bfb90c9ff7993bd727d29a";"Novo método para assinatura e identificação de sinais de eletrocomunicação de peixes elétricos de campo fraco da espécie Gymnotus carapo";"Desenvolvemos um método capaz de reconhecer assinaturas de descargas do órgão elétrico de peixes de campo elétrico fraco da espécie Gymnotus carapo. A assinatura de um peixe é computada com base no espectro de frequências de suas descargas, extraído por meio de uma transformada de Fourier, ou com base em uma análise tempo-frequência das mesmas, realizada por meio de uma transformada complexa de dupla árvore de pacote wavelet. Com o auxílio de uma máquina de vetores de suporte, um método de classificação supervisionada, utilizamos essas assinaturas para identificar, com boa precisão (estimada em 96%), o peixe de origem de cada descarga de órgão elétrico recebida durante uma aquisição com dois peixes movimentando-se livremente em um mesmo aquário.";"primary[Paulo Matias(NA)]";"advisor[Jan Frans Willem Slaets(NA)]|referee[Angel Ariel Caputi Cavalli(NA)|Antonio Carlos Roque da Silva Filho(NA)]";"Aprendizagem de máquina|Eletrocomunicação|Eletrofisiologia|Instrumentação científica|Processamento de sinais";"Electrocommunication|Electrofisiology|Machine learning|Scientific instrumentation|Signal processing";"USP";"masterThesis";"openAccess";"2011";"http://www.teses.usp.br/teses/disponiveis/76/76132/tde-03052011-164310/";"masterThesis";"por"
