Authors;Title;Year;Source title;DOI;Link;Affiliations;Authors with affiliations;TIPO PESQUISA;INTERESSANTE?;Abstract;Author Keywords;Correspondence Address;Publisher;ISSN;ISBN;CODEN;PubMed ID;Language of Original Document;Abbreviated Source Title;EID;;;;;;;;;;;;;;;;;;;;;;
Proskuryakova L.N., Ermolenko G.V.;The future of Russia's renewable energy sector: Trends, scenarios and policies;2019;Renewable Energy;10.1016/j.renene.2019.05.096;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067068149&doi=10.1016%2fj.renene.2019.05.096&partnerID=40&md5=15830e1416f93e484fd82528c3870cb2;"National Research University Higher School of Economics, Russian Federation, 11 Myasnitskaya St., Moscow, 101000, Russian Federation; National Research University Higher School of Economics, Russian Federation, 33-4 Profsoyuznaya St., Moscow, 117418, Russian Federation";"Proskuryakova, L.N., National Research University Higher School of Economics, Russian Federation, 11 Myasnitskaya St., Moscow, 101000, Russian Federation; Ermolenko, G.V., National Research University Higher School of Economics, Russian Federation, 33-4 Profsoyuznaya St., Moscow, 117418, Russian Federation";Estudos de futuro baseados em outros trabalhos academicos, ou surveys complementares.;NÃO;"Today the global energy industry is undergoing major changes shifting towards the green growth and circular economy solutions. The paper offers the outcomes of the foresight study of the Russian renewable energy sector and focuses on three areas: converting solar energy into electricity; converting wind energy into electricity; and converting biomass into thermal energy and electricity. The goal of the study was to foresee and agree on the visionary future for the nascent renewable energy sector in the country, as well as to provide the scientifically justified grounds for government and corporate decision-makers. The research is based on a mixture of methods: bibliometric analysis and text mining, literature review, expert surveys and interviews, workshops, STEEPV analysis of trends, scenario analysis, and applied policy analysis. As a result of the study, major trends and uncertainties that may affect the Russian and global renewable energy sector in the next 15–20 years were identified. Other results include the scenarios for Russia's renewable energy sector that are proposed together with recommendations for the Russian companies and public authorities. The study's policy and market implications go beyond Russia: the outcomes may be useful for similar studies, early stage renewable energy policy planning and investment decision. © 2019 Elsevier Ltd";"Biomass energy; Energy policy; Foresight; Solar energy; Wind energy";"Proskuryakova, L.N.; National Research University Higher School of Economics, Russian Federation, 11 Myasnitskaya St., Russian Federation; email: lproskuryakova@hse.ru";Elsevier Ltd;9601481;;;;English;Renew. Energy;2-s2.0-85067068149;;;;;;;;;;;;;;;;;;;;;;
Arifovic J., Hommes C., Salle I.;Learning to believe in simple equilibria in a complex OLG economy - evidence from the lab;2019;Journal of Economic Theory;10.1016/j.jet.2019.05.001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067183225&doi=10.1016%2fj.jet.2019.05.001&partnerID=40&md5=45d65ced9ad98ac0e8d85d2068e1e51f;"Simon Fraser University, Burnaby, BC, Canada; CeNDEF, Amsterdam School of Economics, University of Amsterdam, Netherlands; Tinbergen Institute, Netherlands; Bank of Canada, Ottawa, ON, Canada";"Arifovic, J., Simon Fraser University, Burnaby, BC, Canada; Hommes, C., CeNDEF, Amsterdam School of Economics, University of Amsterdam, Netherlands, Tinbergen Institute, Netherlands, Bank of Canada, Ottawa, ON, Canada; Salle, I., Bank of Canada, Ottawa, ON, Canada";outros;NÃO;We set up a laboratory experiment to empirically investigate equilibrium selection in a complex economic environment. We use the overlapping-generation model of Grandmont (1985), which displays multiple perfect-foresight equilibria, including periodic and chaotic dynamics. The equilibrium selection problem is not solved under learning, as each outcome is predicted by at least one existing learning theory. We find that subjects in the lab systematically coordinate on an equilibrium despite the complexity of the environment. Coordination only happens on simple equilibria, in this case the steady state or the period-two cycle, a result which is predicted only if the subjects follow simple learning rules. This suggests that relevant perfect-foresight equilibria should be robust to the use of simple rules. © 2019 Elsevier Inc.;"Complex dynamics; Equilibrium selection; Laboratory experiments; Learning";"Salle, I.; Bank of CanadaCanada; email: ISalle@bank-banque-canada.ca";Academic Press Inc.;220531;;JECTA;;English;J. Econ. Theory;2-s2.0-85067183225;;;;;;;;;;;;;;;;;;;;;;
Schweitzer N., Hofmann R., Meinheit A.;Strategic customer foresight: From research to strategic decision-making using the example of highly automated vehicles;2019;Technological Forecasting and Social Change;10.1016/j.techfore.2019.04.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064316935&doi=10.1016%2fj.techfore.2019.04.004&partnerID=40&md5=fd1238663190dd449f2c966662a37dbd;"Institute for Customer Insight, University of St. Gallen, Bahnhofstrasse 8, St. Gallen, 9000, Switzerland; Audi Business Innovation GmbH, Hochbrueckenstr. 6, Muenchen, 80331, Germany; AUDI AG, I/VZ, Ingolstadt, 85045, Germany";"Schweitzer, N., Institute for Customer Insight, University of St. Gallen, Bahnhofstrasse 8, St. Gallen, 9000, Switzerland; Hofmann, R., Audi Business Innovation GmbH, Hochbrueckenstr. 6, Muenchen, 80331, Germany; Meinheit, A., AUDI AG, I/VZ, Ingolstadt, 85045, Germany";Estudos de futuro baseados em outros trabalhos academicos, ou surveys complementares.;TALVEZ;Understanding changing consumer needs is crucial for a company's survival. Particularly in the context of vehicle autonomy, customer insights lay a significant foundation for strategic decision-making of organizations in the automotive industry. This paper outlines how a German car manufacturer explored customer needs in the context of highly automated vehicles (AVs). 1 by implementing corporate foresight research with visionary customers and how the findings supported the strategic decision-making process of the firm. A qualitative pilot study with 29 visionary, trend-receiving customers from Germany, the USA and China identified three innovative use cases for premium highly AVs. A subsequent quantitative online survey with 733 participants from the same three markets confirms the relevance of the use cases for mainstream and innovative consumers. The findings underline that highly AVs are a game changer, transforming future cars into extended living and office spaces, with several implications for practitioners. The findings helped to adapt the organization's business model and branding strategy, provided valuable insights for follow-up studies and shaped corporate communication. The contribution of the paper is threefold: It introduces the concept of strategic customer foresight, outlines specifically how organizations can implement customer foresight research as well as how such research benefits the decision-making process of companies. Further, the paper discloses future customer needs in the context of premium highly AVs. © 2019;"Autonomous driving; Corporate foresight; Customer foresight; Customer insights; Emergent nature consumers; Qualitative research; Radical innovation; Survey; Trend receiver";"Schweitzer, N.; Institute for Customer Insight, University of St. Gallen, Bahnhofstrasse 8, Switzerland; email: nicola.schweitzer@unisg.ch";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85064316935;;;;;;;;;;;;;;;;;;;;;;
Lacroix D., Laurent L., de Menthière N., Schmitt B., Béthinger A., David B., Didier C., Parent du Châtelet J.;Multiple visions of the future and major environmental scenarios;2019;Technological Forecasting and Social Change;10.1016/j.techfore.2019.03.017;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064570017&doi=10.1016%2fj.techfore.2019.03.017&partnerID=40&md5=d68f679c0e2d2df7cf3f184fdab8c52a;"Ifremer Av. Jean Monnet; CS30171. 34203 Sète Cedex, France; Anses 14 rue P.et M. Curie; 94701 Maisons-Alfort Cedex 01, France; Irstea 1, rue Pierre-Gilles de Gennes; CS 10030; 92761 Antony Cedex, France; INRA 147 rue de l'université, Paris, 75007, France; CEA Le ponant D Bâtiment 885; 25 rue Leblanc, Paris, 75015, France; Ineris Parc technologique Alata BP2, Verneuil-en-Halatte, 60550, France; Météo-France 73 av. de Paris, Saint Mandé Cedex, 94165, France";"Lacroix, D., Ifremer Av. Jean Monnet; CS30171. 34203 Sète Cedex, France; Laurent, L., Anses 14 rue P.et M. Curie; 94701 Maisons-Alfort Cedex 01, France; de Menthière, N., Irstea 1, rue Pierre-Gilles de Gennes; CS 10030; 92761 Antony Cedex, France; Schmitt, B., INRA 147 rue de l'université, Paris, 75007, France; Béthinger, A., INRA 147 rue de l'université, Paris, 75007, France; David, B., CEA Le ponant D Bâtiment 885; 25 rue Leblanc, Paris, 75015, France; Didier, C., Ineris Parc technologique Alata BP2, Verneuil-en-Halatte, 60550, France; Parent du Châtelet, J., Météo-France 73 av. de Paris, Saint Mandé Cedex, 94165, France";Estudos de futuro baseados em outros trabalhos academicos, ou surveys complementares.;NÃO;Scientific programming in environmental science often relies on short-term (3 to 5 years) trend-based projections for contextual elements like the demography or the economy to construct or justify its choice of priorities. However, this approach does not take into account numerous factors of change or disruption over a longer term (10 to 20, or even 50 years), although a decade or two are needed to effectively deal with the stakes of research. These stakes become more acute over the long term, as consequences of predicted changes (e. g. climate) or other factors such as pollution, biodiversity erosion, reduction of ecosystemic services... This complex question justifies turning to a foresight approach. Because it enables tipping points to be envisaged for some key variables of the system studied (in this case, the environment), the scenario method seems well adapted to proposing several contrasting visions of the future. The research question is: how a large screening of international studies on environmental scenarios can help framing the reflection on research priorities about environment? To help take its strategic reflection forward, in June 2015 the French national research alliance for the environment (AllEnvi) commissioned its transversal foresight group to identify the major families of scenarios described in foresight studies dealing with the environment since 2000. The summary of the 307 scenarios produced by analyzing 99 international studies highlighted 11 possible societal and environmental pathways. Analyzing these families of scenarios thus makes it easier to clarify the multiple roles that science can play, according to contrasting dynamics. Consequently, this study shows how a systematic review of foresight studies and their related visions of the future of environment can stimulate and enlighten the reflection on the ways societies can (re)define their future, by combining environmental, governance and social sciences.. © 2019;"2100; Environment; Foresight; Research programming; Scenarios";"Lacroix, D.Ifremer Av. Jean Monnet; CS30171. 34203 Sète Cedex, France; email: dlacroix@ifremer.fr";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85064570017;;;;;;;;;;;;;;;;;;;;;;
Betz U.A.K., Betz F., Kim R., Monks B., Phillips F.;Surveying the future of science, technology and business – A 35 year perspective;2019;Technological Forecasting and Social Change;10.1016/j.techfore.2019.04.005;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064711827&doi=10.1016%2fj.techfore.2019.04.005&partnerID=40&md5=ebe85d9a44df28be06b79cd2fc97e2c4;"Portland State University, Oregon, United States; General Informatics, LLC, Austin, United States; Merck KGaA, Darmstadt, Germany; Alliant International University, San Diego, United States; State University of New York, Stony Brook, United States";"Betz, U.A.K., Merck KGaA, Darmstadt, Germany; Betz, F., Portland State University, Oregon, United States, General Informatics, LLC, Austin, United States; Kim, R., General Informatics, LLC, Austin, United States, Alliant International University, San Diego, United States; Monks, B., Merck KGaA, Darmstadt, Germany; Phillips, F., General Informatics, LLC, Austin, United States, State University of New York, Stony Brook, United States";survey;TALVEZ;We asked readers of Science, Nature and Harvard Business Review about their expectations for advances in science, technology, and business over a 35-year time horizon. We asked further about their needs and dreams for technical products, and their forecasts of converging industries. A fourth survey, fielded later to experts in technology forecasting and science policy, yielded assessments of the earlier survey results as well as the experts' own views on the advances, needs, and convergence questions. A combined analysis of the four surveys leads to this paper's portrait of the expected scientific and business environments 35 years hence, and a description of the gaps between expected developments in science, technology and business on the one hand, and market and social needs on the other hand. Years between 2018 and 2053 will bring significant benefits from the convergence of biomedicine and computer science. They will bring challenges and changes to the agriculture and education sectors. Surveyed experts believe many of the areas of greatest social need, including dealing with climate change, are those that businesses are least prepared to respond to. © 2019 Elsevier Inc.;"Business futures; Foresight; Innovation; Planning; Science, technology and society";"Betz, U.A.K.; Merck KGaAGermany; email: ulrich.betz@merckgroup.com";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85064711827;;;;;;;;;;;;;;;;;;;;;;
Mikova N., Eichhammer W., Pfluger B.;Low-carbon energy scenarios 2050 in north-west European countries: Towards a more harmonised approach to achieve the EU targets;2019;Energy Policy;10.1016/j.enpol.2019.03.047;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065159226&doi=10.1016%2fj.enpol.2019.03.047&partnerID=40&md5=e46909abc44eed16b327c1f2a912ab07;"National Research University Higher School of Economics, Myasnitskaya st. 20, Moscow, 101000, Russian Federation; Fraunhofer Institute for Systems and Innovation Research, Breslauer Strasse 48, Karlsruhe, 76139, Germany; Utrecht University, Domplein 29, JE Utrecht, 3512, Netherlands";"Mikova, N., National Research University Higher School of Economics, Myasnitskaya st. 20, Moscow, 101000, Russian Federation, Fraunhofer Institute for Systems and Innovation Research, Breslauer Strasse 48, Karlsruhe, 76139, Germany; Eichhammer, W., Fraunhofer Institute for Systems and Innovation Research, Breslauer Strasse 48, Karlsruhe, 76139, Germany, Utrecht University, Domplein 29, JE Utrecht, 3512, Netherlands; Pfluger, B., Fraunhofer Institute for Systems and Innovation Research, Breslauer Strasse 48, Karlsruhe, 76139, Germany";comparação de modelos entre paises;NÃO;This paper proposes an approach to comparing and assessing the policy settings in the European low-carbon energy scenarios. First, it presents the methodology including ten characteristics for scenario assessment: modelling framework (diversity), ambitiousness of the targets 2050, relations with other (European)countries, stakeholder involvement, technology options, non-technological aspects, economic component, usage of scenarios in policy design, intermediate indicators of targets' achievement and revision of scenarios. Further, it uses qualitative and quantitative methods to evaluate energy scenarios developed in six north-west European countries (the Netherlands, Germany, France, Denmark, the UK, Belgium). Finally, conclusions are made concerning the possible ways of scenario design improvement. The analysis has shown that all selected countries have potential for modifying their energy scenarios, which being implemented may help to achieve the joint European targets 2050. Since these countries are socially and economically interrelated, a more harmonised approach to scenario development is needed to be designed and introduced on the EU level. Ten characteristics proposed in this study may serve as an initial input for such harmonisation. The results can be of interest to economists, business and academic representatives, and especially policy makers involved in the long-term energy scenario development on the international, regional and national level. © 2019 Elsevier Ltd;"Energy policy; Foresight; Low-carbon energy scenarios; North-west European countries; Technology trends; The European targets 2050";"Mikova, N.; National Research University Higher School of Economics, Myasnitskaya st. 20, Russian Federation; email: nmikova@hse.ru";Elsevier Ltd;3014215;;ENPYA;;English;Energy Policy;2-s2.0-85065159226;;;;;;;;;;;;;;;;;;;;;;
Minkkinen M.;The anatomy of plausible futures in policy processes: Comparing the cases of data protection and comprehensive security;2019;Technological Forecasting and Social Change;10.1016/j.techfore.2019.03.007;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063078187&doi=10.1016%2fj.techfore.2019.03.007&partnerID=40&md5=effbd918179fcdfeb0b39f015cfe9863;Finland Futures Research Centre, University of Turku, Turku School of Economics, University of Turku20014, Finland;Minkkinen, M., Finland Futures Research Centre, University of Turku, Turku School of Economics, University of Turku20014, Finland;;SIM;Due to rapid change and wicked policy problems, anticipatory policymaking is increasingly important. In addition to methods for producing foresight knowledge, tools are needed to make sense of the increasing amounts of future-oriented argumentation. This article presents a comparative analysis of anticipatory argumentation in two fields: the EU data protection reform and the Finnish concept for comprehensive security. A three-layer heuristic framework is presented for qualitative analysis of statements on plausible futures. The first layer consists of specific expectations regarding the future. The second layer is the generic anticipatory storyline. The third layer consists of the underlying futures consciousness. The data protection case presents an institutional reform narrative with short time perspective and relatively high agency, while the comprehensive security case presents a crisis narrative based on a contingency planning orientation with long time perspective, relatively developed systems perception and relatively low agency. In policy foresight with high uncertainty and high aspirations of agency, reflexivity and ethical responsibility are crucial components of foresight. This article promotes these by providing a tool for structuring anticipatory assumptions. The tool can be used for studying policy documents or during the policy process to craft more rigorous future-oriented policies. © 2019 The Author;"Anticipation; Comprehensive security; Data protection; Future orientation; Futures consciousness; Reflexivity";;Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85063078187;;;;;;;;;;;;;;;;;;;;;;
Amankwah-Amoah J., Hinson R.E.;Contextual influences on new technology ventures: A study of domestic firms in Ghana;2019;Technological Forecasting and Social Change;10.1016/j.techfore.2019.01.019;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060431033&doi=10.1016%2fj.techfore.2019.01.019&partnerID=40&md5=39798d82e8e4c37c5ff4d76ef49c222a;"Kent Business School, University of Kent, Chatham, Kent  ME4 4TE, Ireland; University of Ghana Business School, Ghana; University of the Free State Business School, South Africa";"Amankwah-Amoah, J., Kent Business School, University of Kent, Chatham, Kent  ME4 4TE, Ireland; Hinson, R.E., University of Ghana Business School, Ghana, University of the Free State Business School, South Africa";Estudos de futuro baseados em outros trabalhos academicos, ou surveys ou interviews complementares.;NÃO;This study examines the mechanisms and processes that explain the contextual influences on the development of new technology ventures. Based on interviews with technology entrepreneurs in Ghana, we developed a three-phase dynamic process model that demonstrates how institutional factors interact with firm-specific factors to influence entrepreneurial development. We identified constraints such as lack of access to financial credit, inadequate infrastructure, and human capital and resource constraints in Phase I, followed by formulating post-formation strategy in Phase II. Phase III focused on strategies for overcoming the constraints through innovations, leveraging new technologies and different financing models to outwit incumbents. The implications of the analysis for the sector and promising opportunities for future research are also outlined. © 2019 Elsevier Inc.;"Africa; Foresight; Ghana; Innovation management; National innovation systems; New technology ventures";"Amankwah-Amoah, J.; Kent Business School, University of KentIreland; email: J.Amankwah-Amoah@kent.ac.uk";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85060431033;;;;;;;;;;;;;;;;;;;;;;
Zepter J.M., Weibezahn J.;Unit commitment under imperfect foresight – The impact of stochastic photovoltaic generation;2019;Applied Energy;10.1016/j.apenergy.2019.03.191;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063908779&doi=10.1016%2fj.apenergy.2019.03.191&partnerID=40&md5=8e62a6583f830ce6316bd19c28bd4b1e;Technische Universität Berlin, Workgroup for Infrastructure Policy (WIP), Straße des 17. Juni 135, Berlin, 10623, Germany;"Zepter, J.M., Technische Universität Berlin, Workgroup for Infrastructure Policy (WIP), Straße des 17. Juni 135, Berlin, 10623, Germany; Weibezahn, J., Technische Universität Berlin, Workgroup for Infrastructure Policy (WIP), Straße des 17. Juni 135, Berlin, 10623, Germany";outros;NÃO;This paper investigates the impact of uncertain photovoltaic generation on unit commitment decisions for the German rolling planning procedure employing a large-scale stochastic unit commitment electricity market model (stELMOD). A novel approach to simulate a time-adaptive intra-day photovoltaic forecast, solely based on an exponential smoothing of deviations between realized and forecast values, is presented. Generation uncertainty is then incorporated by numerous multi-stage scenario trees that account for a decreasing forecast error over time. Results show that total system costs significantly increase when uncertainty of both wind and photovoltaic generation is included by a single forecast, with more frequent starting processes of flexible plants and rather inflexible power plants mainly deployed at part-load. Including the improvement of both wind and photovoltaic forecasts by a scenario tree of possible manifestations, the scheduling costs could be significantly reduced in representative weeks for spring and summer. In general, stochastic representations increase the need for congestion management as well as more frequent use of storage in the model, leading to a more realistic depiction of the markets. © 2019 Elsevier Ltd;"Electricity system modeling; Flexibility; Forecast error simulation; Photovoltaic; Stochasticity; Unit commitment";"Weibezahn, J.; Technische Universität Berlin, Workgroup for Infrastructure Policy (WIP), Straße des 17. Juni 135, Germany; email: jew@wip.tu-berlin.de";Elsevier Ltd;3062619;;APEND;;English;Appl. Energy;2-s2.0-85063908779;;;;;;;;;;;;;;;;;;;;;;
Cheah S.L.-Y., Yang Y., Saritas O.;Reinventing product-service systems: the case of Singapore;2019;Foresight;10.1108/FS-12-2018-0107;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062018039&doi=10.1108%2fFS-12-2018-0107&partnerID=40&md5=07e4593acbbbbd8646641cf7102dfe31;"Department of Management and Organization, National University of Singapore, Singapore, Singapore; Institute of High Performance Computing (IHPC), Agency for Science, Technology and Research (A*STAR), Singapore; Higher School of Economics, Russian Federation";"Cheah, S.L.-Y., Department of Management and Organization, National University of Singapore, Singapore, Singapore; Yang, Y., Institute of High Performance Computing (IHPC), Agency for Science, Technology and Research (A*STAR), Singapore; Saritas, O., Higher School of Economics, Russian Federation";Estudos de futuro baseados em outros trabalhos academicos, ou surveys ou interviews complementares.;TALVEZ;Purpose: This paper aims to discuss a foresight study conducted in Singapore’s national R&D agency to help science and technology decision makers identify key capability areas of R&D investment to support the manufacturing industry’s growth in the country and the region. Design/methodology/approach: Using horizon scanning, scenario analysis and expert opinion, nine capabilities are identified as core areas to be developed to support the country’s future growth of product-service systems. Findings: The results of a Delphi survey involving 30 industry and academic thought leaders recommend priorities of these capabilities. This paper concludes with a discussion of the study implications for theory, research and practice in the domain of servitisation and product-service systems. Research limitations/implications: The foresight study presented here on the future of servitisation in Singapore demonstrates one of the first fully fledged applications of foresight in constructing a coherent vision of future product-service system markets. In this study, the authors applied systemic foresight methodology (SFM) comprising the first six phases: initiation (scoping), intelligence (scanning), imagination (scenarios), integration (priorities), interpretation (strategies) and implementation (action).For future research, an ideal step would be to proceed with the final phase of the SFM, impact, to develop indicators for servitisation and to monitor and evaluate the transition process. Practical implications: Manufacturing and services are no longer distinct concepts with a clear divide. Manufacturing firms not only become more service dependent but also produce and provide services for their consumers. This transformation towards servitisation implies fundamental re-organisation of the production and management practices. Furthermore, through new business models, new and loyal customers will be gained, which will in turn bring additional income, while making the companies less prone to economic and business fluctuations. Social implications: The results of this study have practical implications for policymakers of public and private sectors that are interested in playing a key role in future product-service system innovation. These have implications for developing the human and intellectual capital that are required for supporting the future innovation. Institutes of higher learning and vocational institutes should also consider incorporating new curricula and modules to build the capabilities for knowledge creation and transfer. Originality/value: The findings of the present study on strategic growth areas and relevant critical capabilities provide new directions for research in the field of servitisation. Among the nine capabilities identified, the top three were advanced customer intelligence capability, socio-physical service quality, traceability and maintainability and integrated strategic decision-making. From the results, it is apparent that advanced customer intelligence capability is both an area of importance to Singapore and the world. © 2019, Emerald Publishing Limited.;"Singapore; Transition";"Cheah, S.L.-Y.; Department of Management and Organization, National University of SingaporeSingapore; email: sarahcheah@nus.edu.sg";Emerald Group Publishing Ltd.;14636689;;;;English;Foresight;2-s2.0-85062018039;;;;;;;;;;;;;;;;;;;;;;
